"ID","Name","Discounted Price","Actual Price","Saving","Rating","Reviews","Brand","Core","SSD","Model","Has_GPU","GPU_Family","GPU_Model","GPU_Tier","CPU_Text","CPU_Brand","CPU_Tier","RAM_GB","Storage_GB"
260,"HP 15S-EQ2315AU Laptop AMD Ryzen 7-5700U 8GB-512GB",151999,210000,"28% OFF",NA,NA,"Hp","Ryzen 7",NA,"15S-EQ2315AU Laptop AMD Ryzen 7-5700U 8GB-512GB",FALSE,NA,NA,NA,"Ryzen 7","AMD",NA,NA,NA
261,"HP VICTUS 15-FB2082WM R5-8645HS (8GB-512GB SSD) RTX-4050-6GB",231999,292000,"21% OFF",NA,NA,"Hp",NA,"8GB-512GB SSD","VICTUS 15-FB2082WM R5-8645HS  RTX-4050-6GB",TRUE,"RTX",4050,"Mid","HP VICTUS 15-FB2082WM R5-8645HS (8GB-512GB SSD) RTX-4050-6GB",NA,NA,8,8
262,"HP Spectre x360 14-EF2051TU 13th Gen 1355U",401999,425000,"5% OFF",NA,NA,"Hp",NA,NA,"Spectre x360 14-EF2051TU 13th Gen 1355U",FALSE,NA,NA,NA,"HP Spectre x360 14-EF2051TU 13th Gen 1355U",NA,NA,NA,NA
263,"Acer Predator Helios Neo PH16-72-903U Intel Core i9-14900HX (32GB-1TB SSD)",480999,499999,"4% OFF",NA,NA,"Acer","Core i9",NA,"Predator Helios Neo PH16-72-903U Intel Core i9-14900HX",FALSE,NA,NA,NA,"Core i9","Intel","High",32,1024
264,"HP Victus 15-FB2146AX R7-8845HS (16GB-512GB SSD) RTX 4060 8GB",296999,335000,"11% OFF",NA,NA,"Hp",NA,"16GB-512GB SSD","Victus 15-FB2146AX R7-8845HS  RTX 4060 8GB",TRUE,"RTX",4060,"Upper-Mid","HP Victus 15-FB2146AX R7-8845HS (16GB-512GB SSD) RTX 4060 8GB",NA,NA,16,16
265,"HP DU3572TU 15.6 Inches Core i5 11thGen (8GB RAM - 512GBSSD)",176499,NA,NA,NA,NA,"Hp","Core i5","512GBSSD","DU3572TU 15.6 Inches Core i5 11thGen",FALSE,NA,NA,NA,"Core i5","Intel","Mid",512,512
266,"Infinix INBook Y1 Plus Laptop Core i3 (8GB-256GB SSD) International",85999,111999,"23% OFF",4.8,4,"Infinix","Core i3","8GB-256GB SSD","INBook Y1 Plus Laptop Core i3  International",FALSE,NA,NA,NA,"Core i3","Intel","Entry",8,8
267,"HP Laptop 15S FQ5276NIA i3 12th Gen (4GB-256GB)",107999,125000,"14% OFF",NA,NA,"Hp",NA,NA,"Laptop 15S FQ5276NIA i3 12th Gen",FALSE,NA,NA,NA,"HP Laptop 15S FQ5276NIA i3 12th Gen (4GB-256GB)",NA,"Entry",4,256
268,"DELL Vostro 15 3520 Laptop 12th Gen Core i3",101999,139999,"27% OFF",4.5,1,"Dell","Core i3",NA,"Vostro 15 3520 Laptop 12th Gen Core i3",FALSE,NA,NA,NA,"Core i3","Intel","Entry",NA,NA
269,"HP 15S-FQ5340TU Core i3 12th Gen (8GB-256GB)",106999,120000,"11% OFF",NA,NA,"Hp","Core i3",NA,"15S-FQ5340TU Core i3 12th Gen",FALSE,NA,NA,NA,"Core i3","Intel","Entry",8,256
270,"HP 15-FB1000CA Ryzen 5 15.6 inches (16GB-1TB)",206999,220000,"6% OFF",NA,NA,"Hp","Ryzen 5",NA,"15-FB1000CA Ryzen 5 15.6 inches",FALSE,NA,NA,NA,"Ryzen 5","AMD",NA,16,1024
271,"HP 15s EQ2174AU 15.6 Inches Ryzen 5 (8GB-512GB)",116999,150000,"22% OFF",NA,NA,"Hp","Ryzen 5",NA,"15s EQ2174AU 15.6 Inches Ryzen 5",FALSE,NA,NA,NA,"Ryzen 5","AMD",NA,8,512
272,"HP Envy 16-H1053DX 13th Gen Core i7-13700H (16GB-1TB)",360999,4e+05,"10% OFF",NA,NA,"Hp","Core i7",NA,"Envy 16-H1053DX 13th Gen Core i7-13700H",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",16,1024
273,"HP Envy x360 2 in 1 14 FC0023DX Core Ultra 7 Laptop",230999,3e+05,"23% OFF",NA,NA,"Hp","Ultra 7",NA,"Envy x360 2 in 1 14 FC0023DX Core Ultra 7 Laptop",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",NA,NA
274,"Asus Zenbook 14 Q425MA Core Ultra 7 155H",265999,3e+05,"11% OFF",NA,NA,"Asus","Ultra 7",NA,"Zenbook 14 Q425MA Core Ultra 7 155H",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",NA,NA
275,"Apple MacBook Air 15 Inches With M3 Chip (MXD43)",395999,449999,"12% OFF",NA,NA,"Apple","M3",NA,"MacBook Air 15 Inches With M3 Chip",FALSE,NA,NA,NA,"M3","Apple","High",NA,NA
276,"Acer Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H (32GB-1TB SSD)",430999,550000,"22% OFF",NA,NA,"Acer","Ultra 9",NA,"Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H",FALSE,NA,NA,NA,"Ultra 9","Intel","High",32,1024
277,"Lenovo IdeaPad Slim 5 Core i5 13420H DOS (16GB-512GB SSD)",176999,199999,"12% OFF",NA,NA,"Lenovo","Core i5","16GB-512GB SSD","IdeaPad Slim 5 Core i5 13420H DOS",FALSE,NA,NA,NA,"Core i5","Intel","Mid",16,16
